wordNr;historyNr;correctWord;word1;word2;word3
1;1;wenn;wenn;wenig;obwohl
2;1;Das;Das;Dann;Die
3;1;Teil;Teil;Teig;Krümel
4;2;leben;leben;blühen;lesen
5;2;oder;oder;öfter;zwar
6;2;Wildtiere;Wildschweine;Wildtiere;Haustiere
7;2;Diese;Keine;Diese;Dieser
8;2;heißen;nennen;beißen;heißen
9;2;nützlich;heilsam;plötzlich;nützlich
10;2;allem;allem;allen;immer
11;2;ist;haust;isst;ist
12;2;Wurst;Wurm;Käse;Wurst
13;2;auch;aus;auch;sowie
14;2;nicht;dicht;nicht;kein
15;2;geben;gehen;geben;teilen
16;2;jeder;jeher;jeder;gesamt
17;2;herstellen;hinstellen;herstellen;bestellen
18;2;Nutztier;Bauern;Nutztier;Nützling
19;3;Dann;Dann;Nach;Dünn
20;3;Lastwagen;Leihwagen;Lastesel;Lastwagen
21;3;transportiert;getragen;transponiert;transportiert
22;3;werden;keimen;werden;würden
23;3;zerkleinerten;zerknüllten;zerpflückten;zerkleinerten
24;3;fertige;fertige;wertige;verbrauchte
25;3;Päckchen;Päckchen;Ballen;Röckchen
26;3;Kisten;Kisten;Koffer;Kästen
27;3;liefert;listet;erhält;liefert
28;3;dorthin;darin;dorthin;danach
29;3;warten;warfen;warten;lauern
30;3;die;dies;die;der
31;3;auspacken;auspacken;ausparken;aufdecken
32;3;um;um;und;für
33;3;zu;zu;zur;bei