imagePath;correctWord;word1;word2;word3;word4;
assets/lernverlauf/02-lesen/89_rose.png;Rose;Hase;Rose;Rabe;Dame;
assets/lernverlauf/02-lesen/90_schere.png;Schere;Schere;Schule;Tage;Schale;
assets/lernverlauf/02-lesen/91_nudel.png;Nudel;Nudel;Nadel;Nebel;Namen;
assets/lernverlauf/02-lesen/92_kugel.png;Kugel;Kegel;Kuchen;Lupe;Kugel;
assets/lernverlauf/02-lesen/93_regen.png;Regen;Raben;Regen;Rosen;Rasen;
assets/lernverlauf/02-lesen/94_besen.png;Besen;Tage;Boden;baden;Besen;
assets/lernverlauf/02-lesen/95_wiese.png;Wiese;Wiese;Wagen;Ziege;Wiege;
assets/lernverlauf/02-lesen/96_riese.png;Riese;Rasen;riefen;Regen;Riese;
assets/lernverlauf/02-lesen/97_liegen.png;liegen;liebe;lesen;liegen;sieben;
assets/lernverlauf/02-lesen/98_ente.png;Ente;Ende;Ente;Esel;Gabel;
assets/lernverlauf/02-lesen/99_tulpe.png;Tulpe;Tulpe;Tiere;Tante;Taste;
assets/lernverlauf/02-lesen/100_lampe.png;Lampe;Linse;Lampe;Palme;Laden;
assets/lernverlauf/02-lesen/101_ampel.png;Ampel;Alter;Anker;Nagel;Ampel;
assets/lernverlauf/02-lesen/102_wolken.png;Wolken;Windel;Wolken;Wimpern;Regen;
assets/lernverlauf/02-lesen/103_mantel.png;Mantel;Mantel;Magen;Masten;Masken;
assets/lernverlauf/02-lesen/104_maler.png;Maler;Meter;Menschen;Sieger;Maler;
assets/lernverlauf/02-lesen/105_feder.png;Feder;Feder;Eltern;Biber;Eber;
assets/lernverlauf/02-lesen/106_kater.png;Kater;Leder;Kater;Kegel;Kugel;
assets/lernverlauf/02-lesen/107_bilder.png;Bilder;Kinder;Bilder;Biene;Bande;
assets/lernverlauf/02-lesen/108_winter.png;Winter;unter;Winter;Wunder;Fieber;
assets/lernverlauf/02-lesen/109_tochter.png;Tochter;Schulter;Tiger;Tochter;Tiere;
assets/lernverlauf/02-lesen/110_kerze.png;Kerze;Kerze;Karte;Kirsche;Kiste;
assets/lernverlauf/02-lesen/111_farbe.png;Farbe;Farbe;Ferkel;Faden;Feder;
assets/lernverlauf/02-lesen/112_wurzel.png;Wurzel;wurden;Winter;warten;Wurzel;
assets/lernverlauf/02-lesen/113_augen.png;Augen;Daumen;Augen;Ärmel;Arme;
assets/lernverlauf/02-lesen/114_baueme.png;Bäume;Bäume;Birne;Beine;Bauer;
assets/lernverlauf/02-lesen/115_kuebel.png;Kübel;Käfer;Kasten;Kübel;Käse;
assets/lernverlauf/02-lesen/116_raeder.png;Räder;Würfel;Räuber;Räder;Schüler;
assets/lernverlauf/02-lesen/117_feuer.png;Feuer;Bären;Feuer;Felsen;Füße;
assets/lernverlauf/02-lesen/118_schwarze.png;schwarze;Schwester;schlafen;schwarze;Schulter;
assets/lernverlauf/02-lesen/119_sterne.png;Sterne;Sterne;Stiefel;Seite;Stufe;
assets/lernverlauf/02-lesen/120_fliege.png;Fliege;Spiegel;Fliege;Flieder;Stunden;
assets/lernverlauf/02-lesen/121_blume.png;Blume;Blase;Bluse;beide;Blume;
assets/lernverlauf/02-lesen/122_kleider.png;Kleider;kleine;Kerne;keine;Kleider;
assets/lernverlauf/02-lesen/123_traene.png;Träne;Traube;Träne;Tiere;Tafel;
assets/lernverlauf/02-lesen/124_floete.png;Flöte;Flügel;Freunde;Frage;Flöte;
assets/lernverlauf/02-lesen/125_ritter.png;Ritter;Ritter;Roller;Reise;Rüssel;
assets/lernverlauf/02-lesen/126_suppe.png;Suppe;Sonne;Sommer;Suppe;Sessel;
assets/lernverlauf/02-lesen/127_tasse.png;Tasse;Tasse;Tanne;Tonne;Teller;
assets/lernverlauf/02-lesen/128_muschel.png;Muschel;Mücken;Muschel;Wäsche;Wecker;
assets/lernverlauf/02-lesen/129_decke.png;Decke;dicke;Deckel;Ecke;Decke;
assets/lernverlauf/02-lesen/130_lachen.png;lachen;lachen;lassen;machen;laufen;
assets/lernverlauf/02-lesen/131_junge.png;Junge;Junge;Hunger;Jäger;Jause;
assets/lernverlauf/02-lesen/132_zunge.png;Zunge;Zange;Zapfen;Zunge;Züge;
assets/lernverlauf/02-lesen/133_trommel.png;Trommel;Treppe;Tränen;Trommel;Drache;
assets/lernverlauf/02-lesen/134_schlange.png;Schlange;Schnecke;Schlange;Schnabel;Schlüssel;
assets/lernverlauf/02-lesen/135_knochen.png;Knochen;Klasse;Pfanne;Knochen;Krallen;
assets/lernverlauf/02-lesen/136_froesche.png;Frösche;Flamme;Flecken;Frösche;Flasche;
assets/lernverlauf/02-lesen/137_schuhe.png;Schuhe;Truhe;Schule;Schuhe;Schüler;
assets/lernverlauf/02-lesen/138_rehe.png;Rehe;Ruhe;Rehe;Reihe;Reise;
assets/lernverlauf/02-lesen/139_stehen.png;stehen;ziehen;stehen;sehen;stellen;
assets/lernverlauf/02-lesen/140_fahne.png;Fahne;fahren;Fohlen;fühlen;Fahne;
assets/lernverlauf/02-lesen/141_ohren.png;Ohren;Ohren;ohne;Ofen;oben;
assets/lernverlauf/02-lesen/142_huehner.png;Hühner;Sohle;Höhle;Zähne;Hühner;
assets/lernverlauf/02-lesen/143_bauch.png;Bauch;Bauch;Buch;Boot;Bus;
assets/lernverlauf/02-lesen/145_tor.png;Tor;Kuh;Tor;Tier;Tod;
assets/lernverlauf/02-lesen/144_seil.png;Seil;Sieb;Eis;See;Seil;
assets/lernverlauf/02-lesen/146_berg.png;Berg;Bart;Band;Bild;Berg;
assets/lernverlauf/02-lesen/147_hals.png;Hals;Hand;Hemd;Hals;Heft;
assets/lernverlauf/02-lesen/148_geld.png;Geld;Gips;Geld;Gold;Gang;
assets/lernverlauf/02-lesen/149_wald.png;Wald;Wald;Welt;Wort;Wand;
assets/lernverlauf/02-lesen/150_brief.png;Brief;Brot;Blut;Blau;Brief;
assets/lernverlauf/02-lesen/151_stein.png;Stein;Stein;schwer;Schwein;Stiel;
assets/lernverlauf/02-lesen/152_frau.png;Frau;Frau;frei;früh;Flug;
assets/lernverlauf/02-lesen/153_glas.png;Glas;Gras;Graf;Glas;grün;
assets/lernverlauf/02-lesen/154_schrank.png;Schrank;Schwanz;Schrank;Schwert;Specht;
assets/lernverlauf/02-lesen/155_stock.png;Stock;Strand;Stock;Stück;Stuhl;
assets/lernverlauf/02-lesen/156_pferd.png;Pferd;Platz;Prinz;Knopf;Pferd;
assets/lernverlauf/02-lesen/157_gespenster.png;Gespenster;Geschichte;Gespenster;Geheimnis;Geburtstag;
assets/lernverlauf/02-lesen/158_herunter.png;herunter;darüber;hinüber;herunter;Minuten;