correctAnswer;matrix;pic1;pic2;pic3;pic4;pic5
1;11A_A_0;11A_A_1;11A_A_2;11A_A_3;11A_A_4;-1
4;11A_B_0;11A_B_1;11A_B_2;11A_B_3;11A_B_4;-1
2;11A_C_0;11A_C_1;11A_C_2;11A_C_3;11A_C_4;-1
2;11A_1_0;11A_1_1;11A_1_2;11A_1_3;11A_1_4;-1
4;11A_2_0;11A_2_1;11A_2_2;11A_2_3;11A_2_4;11A_2_5
4;11A_3_0;11A_3_1;11A_3_2;11A_3_3;11A_3_4;-1
1;11A_4_0;11A_4_1;11A_4_2;11A_4_3;11A_4_4;11A_4_5
4;11A_5_0;11A_5_1;11A_5_2;11A_5_3;11A_5_4;11A_5_5
1;11A_6_0;11A_6_1;11A_6_2;11A_6_3;11A_6_4;11A_6_5
3;11A_7_0;11A_7_1;11A_7_2;11A_7_3;11A_7_4;11A_7_5
1;11A_8_0;11A_8_1;11A_8_2;11A_8_3;11A_8_4;11A_8_5
2;11A_9_0;11A_9_1;11A_9_2;11A_9_3;11A_9_4;11A_9_5
2;11A_10_0;11A_10_1;11A_10_2;11A_10_3;11A_10_4;11A_10_5
4;11A_11_0;11A_11_1;11A_11_2;11A_11_3;11A_11_4;11A_11_5
4;11A_12_0;11A_12_1;11A_12_2;11A_12_3;11A_12_4;11A_12_5
5;11A_13_0;11A_13_1;11A_13_2;11A_13_3;11A_13_4;11A_13_5
1;11A_14_0;11A_14_1;11A_14_2;11A_14_3;11A_14_4;11A_14_5
2;11A_15_0;11A_15_1;11A_15_2;11A_15_3;11A_15_4;11A_15_5
3;11A_16_0;11A_16_1;11A_16_2;11A_16_3;11A_16_4;11A_16_5
5;11A_17_0;11A_17_1;11A_17_2;11A_17_3;11A_17_4;11A_17_5
3;11A_18_0;11A_18_1;11A_18_2;11A_18_3;11A_18_4;11A_18_5
5;11A_19_0;11A_19_1;11A_19_2;11A_19_3;11A_19_4;11A_19_5
3;11A_20_0;11A_20_1;11A_20_2;11A_20_3;11A_20_4;11A_20_5
2;11A_21_0;11A_21_1;11A_21_2;11A_21_3;11A_21_4;11A_21_5
4;11A_22_0;11A_22_1;11A_22_2;11A_22_3;11A_22_4;11A_22_5
3;11A_23_0;11A_23_1;11A_23_2;11A_23_3;11A_23_4;11A_23_5
1;11A_24_0;11A_24_1;11A_24_2;11A_24_3;11A_24_4;11A_24_5
5;11A_25_0;11A_25_1;11A_25_2;11A_25_3;11A_25_4;11A_25_5
5;11A_26_0;11A_26_1;11A_26_2;11A_26_3;11A_26_4;11A_26_5
4;11A_27_0;11A_27_1;11A_27_2;11A_27_3;11A_27_4;11A_27_5
2;11A_28_0;11A_28_1;11A_28_2;11A_28_3;11A_28_4;11A_28_5
3;11A_29_0;11A_29_1;11A_29_2;11A_29_3;11A_29_4;11A_29_5