answer1PictureName;answer2PictureName;answer3PictureName;rightAnswer;audioname
Haus.png;Maus.png;Mann.png;2;Ex1_File_3_Reimen_Instruktion_1MASTER.mp3
Suppe.png;Lippe.png;Puppe.png;1;Ex1_File_5_Reimen_Instruktion_3MASTER.mp3
Tasse.png;Tonne.png;Sonne.png;0;Ex1_File_7_Reime_Instruktion_5MASTER.mp3
Kuh.png;Schuh.png;Schal.png;2;Ex1_File_9_Reimen_Beispiel_1MASTER.mp3
Topf.png;Kopf.png;Pferd.png;2;Ex1_File_10_Reimen_Beispiel_2MASTER.mp3
Ritter.png;Butter.png;Gitter.png;1;Ex1_File_11_Reimen_Beispiel_3MASTER.mp3
Wurst.png;Wurm.png;Turm.png;0;Ex1_File_12_Reimen_Beispiel_4MASTER.mp3
Berg.png;Burg.png;Zwerg.png;1;Ex1_File_13_Reimen_Beispiel_5MASTER.mp3
Kanne.png;Pfanne.png;Kamel.png;2;Ex1_File_14_Reimen_Beispiel_6MASTER.mp3
Rose.png;Ofen.png;Dose.png;1;Ex1_File_15_Reimen_Beispiel_7MASTER.mp3
Nagel.png;Nase.png;Hase.png;0;Ex1_File_16_Reimen_Beispiel_8MASTER.mp3
Hund.png;Mund.png;Muschel.png;2;Ex1_File_17_Reimen_Beispiel_9MASTER.mp3
Tisch.png;Schiff.png;Fisch.png;1;Ex1_File_18_Reimen_Beispiel_10MASTER.mp3